County,Crop,Target,Predictor,Coefficient,P-value,Lower CI,Upper CI,County_Crop
Alameda,GRAPES WINE,Yield Per Acre,high_temp_days,7.318144417305697e-06,0.27593892224728217,-6.1051612300874e-06,2.0741450064698793e-05,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Yield Per Acre,low_temp_days,4.901669513348211e-06,0.4678987812542853,-8.657316589665994e-06,1.8460655616362414e-05,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Yield Per Acre,heavy_rain_days,-3.485342826128659e-05,0.2890218920818434,-0.00010057503626531347,3.086817974274029e-05,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Yield Per Acre,snow_days,2.1084129058970417e-20,0.25986679454811884,-1.6289511053881558e-20,5.845776917182239e-20,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Yield Per Acre,high_wind_days,3.745204662906437e-06,0.63396773260006,-1.2083209388436988e-05,1.957361871424986e-05,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Yield Per Acre,low_visibility_days,0.0,,0.0,0.0,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Yield Per Acre,cloudy_days,1.2054496421201753e-05,0.3658676630346812,-1.4657763535485118e-05,3.876675637788863e-05,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Production Per Acre,high_temp_days,0.01340627512365928,0.2783190910853874,-0.011308421484934814,0.03812097173225337,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Production Per Acre,low_temp_days,0.003218458479753698,0.7950681683264706,-0.021746050014561903,0.0281829669740693,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Production Per Acre,heavy_rain_days,-0.03357731419645277,0.5768032649603048,-0.15458250063232315,0.0874278722394176,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Production Per Acre,snow_days,2.04709590262699e-17,0.5497762016804162,-4.83405692821318e-17,8.92824873346716e-17,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Production Per Acre,high_wind_days,-0.03755690918430634,0.013035933899413632,-0.06669983875397856,-0.008413979614634127,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Production Per Acre,low_visibility_days,0.0,,0.0,0.0,Alameda - GRAPES WINE
Alameda,GRAPES WINE,Production Per Acre,cloudy_days,0.030111404532017844,0.2221592023488608,-0.019070623941544147,0.07929343300557984,Alameda - GRAPES WINE
